Date,Stock Code,Stock Name,Aggregated Reportable Short Positions (Shares),Aggregated Reportable Short Positions (HK$)
18/04/2019,480,HKR INT'L,0,0
18/04/2019,486,RUSAL,3870000,13583700
18/04/2019,488,LAI SUN DEV,330000,4164600
18/04/2019,489,DONGFENG GROUP,88597386,756621676
18/04/2019,493,GOME RETAIL,1832254539,1557416358
18/04/2019,494,LI & FUNG,343732920,494975405
18/04/2019,496,KASEN,3564800,20961024
18/04/2019,497,CSI PROPERTIES,3000000,1350000
18/04/2019,500,FRONTIER SER,0,0
18/04/2019,506,CHINA FOODS,8561000,26710320
18/04/2019,508,DINGYI GP INV,40662680,22364474
18/04/2019,511,TVB,6406259,103653271
18/04/2019,512,CHINAGRANDPHARM,13412000,63036400
18/04/2019,517,COSCO SHIP INTL,484000,1360040
18/04/2019,519,APPLIED DEV,719454,280587
18/04/2019,520,XIABUXIABU,26559100,346861846
18/04/2019,522,ASM PACIFIC,20771369,2003398540
18/04/2019,525,GUANGSHEN RAIL,15576992,45484817
18/04/2019,526,LISI GP HOLD,0,0
18/04/2019,530,GOLDIN FIN HOLD,0,0
18/04/2019,535,GEMDALE PPT,63970000,69727300
18/04/2019,538,AJISEN (CHINA),10941826,41031848
18/04/2019,546,FUFENG GROUP,46818828,198511831
18/04/2019,547,DIGITAL DOMAIN,269435000,34757115
18/04/2019,548,SHENZHENEXPRESS,3018200,29608542
18/04/2019,551,YUE YUEN IND,10951928,277631375
18/04/2019,552,CHINACOMSERVICE,36032697,250066917
18/04/2019,563,SH IND URBAN,9286000,15600480
18/04/2019,570,TRAD CHI MED,67952293,322093869
18/04/2019,576,ZHEJIANGEXPRESS,15817029,140929728
18/04/2019,579,JNCEC,8350000,13360000
18/04/2019,581,CHINA ORIENTAL,27576376,137330352
18/04/2019,586,CONCH VENTURE,26334888,718942442
18/04/2019,588,BEIJING N STAR,680000,2006000
18/04/2019,590,LUK FOOK HOLD,11205087,326628286
18/04/2019,596,INSPUR INT'L,3916000,16251400
18/04/2019,598,SINOTRANS,22486449,75554469
18/04/2019,603,CHINA OIL & GAS,11975856,5987928
18/04/2019,604,SHENZHEN INVEST,74193060,236675861
18/04/2019,606,CHINA AGRI,25338445,66893495
18/04/2019,607,FULLSHARE,850287829,790767681
18/04/2019,622,ENERCHINA HOLD,7393846,6654461
18/04/2019,627,FULLSUN INT'L,0,0
18/04/2019,631,SANY INT'L,12659000,48610560
18/04/2019,636,KERRY LOG NET,5293085,75161807
18/04/2019,639,SHOUGANG RES,25767551,51277426
18/04/2019,656,FOSUN INTL,39772646,510680775
18/04/2019,658,C TRANSMISSION,41034104,245383942
18/04/2019,659,NWS HOLDINGS,1622000,27217160
18/04/2019,662,ASIA FINANCIAL,0,0
18/04/2019,665,HAITONG INT'L,199875616,601625604
18/04/2019,669,TECHTRONIC IND,23406918,1363452974
18/04/2019,670,CHINA EAST AIR,36325873,217228721
18/04/2019,678,GENTING HK,6134755,6564188
18/04/2019,680,NAN HAI CORP,0,0
18/04/2019,683,KERRY PPT,13759376,471946597
18/04/2019,686,PANDA GREEN,71048310,23801184
18/04/2019,687,HKICIM GROUP,0,0
18/04/2019,688,CHINA OVERSEAS,28166132,809776295
18/04/2019,689,EPI (HOLDINGS),18975000,2466750
18/04/2019,694,BEIJING AIRPORT,53081019,372097943
18/04/2019,696,TRAVELSKY TECH,18957646,374603085
18/04/2019,697,SHOUGANG INT'L,16713349,5264705
18/04/2019,698,TONGDA GROUP,236341343,217434036
18/04/2019,699,CAR INC,98923765,629155145
18/04/2019,700,TENCENT,80361943,31469736879
18/04/2019,707,ATV HOLDINGS,13550000,3021650
18/04/2019,708,EVERG HEALTH,6168926,68475079
18/04/2019,709,GIORDANO INT'L,4490259,17332400
18/04/2019,710,BOE VARITRONIX,2301812,5340204
18/04/2019,715,CHINA OCEANWIDE,0,0
18/04/2019,716,SINGAMAS CONT,4146836,5598229
18/04/2019,717,EMPEROR CAPITAL,8802974,3609219
18/04/2019,721,C FIN INT INV,11313738,1459472
18/04/2019,728,CHINA TELECOM,74004897,304900176
18/04/2019,729,FDG EVEHICLES,177188909,9745390
18/04/2019,732,TRULY INT'L,79373779,103979650
18/04/2019,735,CP CLEAN ENERGY,3995280,21254890
18/04/2019,737,HOPEWELL INFR,0,0
18/04/2019,743,ASIA CEMENT CH,2339000,22009990
18/04/2019,751,SKYWORTHDIGITAL,116483572,316835316
18/04/2019,752,PICO FAR EAST,400000,1152000
18/04/2019,753,AIR CHINA,68617768,688922391
18/04/2019,754,HOPSON DEV HOLD,0,0
18/04/2019,755,SHANGHAI ZENDAI,0,0
18/04/2019,762,CHINA UNICOM,77006849,746196367
18/04/2019,763,ZTE,49987063,1337153935
18/04/2019,772,CHINA LIT,40251856,1495356450
18/04/2019,777,NETDRAGON,1572000,37806600
18/04/2019,778,FORTUNE REIT,0,0
18/04/2019,787,GLOBAL BRANDS,6761647,6761647
18/04/2019,788,CHINA TOWER,815907360,1794996192
18/04/2019,799,IGG,50036373,531386281
18/04/2019,806,VALUE PARTNERS,35985618,229228387
18/04/2019,807,SIICENVIRONMENT,2281800,4449510
18/04/2019,808,PROSPERITY REIT,0,0
18/04/2019,811,XINHUA WINSHARE,550000,3377000
18/04/2019,813,SHIMAO PROPERTY,35085465,850822526
18/04/2019,816,HUADIAN FUXIN,7924000,13312320
18/04/2019,817,CHINA JINMAO,344985991,1866374211
18/04/2019,818,HI SUN TECH,3453050,4868801
18/04/2019,819,TIANNENG POWER,61655887,472900653
18/04/2019,823,LINK REIT,18407002,1675037182
18/04/2019,826,TIANGONG INT'L,12302400,24358752
18/04/2019,831,CR ASIA,0,0
18/04/2019,832,CENTRAL CHINA,3562000,14390480
18/04/2019,836,CHINA RES POWER,17277993,195932441
18/04/2019,839,CHINA EDU GROUP,39554306,516579236
18/04/2019,853,MICROPORT,41533495,302363844
18/04/2019,855,CHINA WATER,30224248,249047804
18/04/2019,856,VSTECS,2656476,11050940
18/04/2019,857,PETROCHINA,139073288,700929372
18/04/2019,860,WE SOLUTIONS,33227857,14620257
18/04/2019,861,DC HOLDINGS,7237734,30181351
18/04/2019,867,CMS,10659084,76105860
18/04/2019,868,XINYI GLASS,66658555,640588714
18/04/2019,874,BAIYUNSHAN PH,6828571,258461412
18/04/2019,877,O-NET TECH GP,3689078,15863035
18/04/2019,880,SJM HOLDINGS,135025906,1288147143
18/04/2019,881,ZHONGSHENG HLDG,81796069,1881309587
18/04/2019,882,TIANJIN DEV,2370000,6588600
18/04/2019,883,CNOOC,94528867,1393355500
18/04/2019,884,CIFI HOLD GP,120153769,675264182
18/04/2019,895,DONGJIANG ENV,1500625,14270944
18/04/2019,902,HUANENG POWER,192641421,916973164
18/04/2019,906,COFCO PACKAGING,31314860,106470524
18/04/2019,914,CONCH CEMENT,49895432,2482297742
18/04/2019,916,CHINA LONGYUAN,50589890,271667709
18/04/2019,921,HISENSE HA,2600507,29021658
18/04/2019,931,CHINA LNG,4070386,4518128
18/04/2019,934,SINOPEC KANTONS,18041500,64949400
18/04/2019,939,CCB,1421739547,10037481202
18/04/2019,941,CHINA MOBILE,35930792,2719960954
18/04/2019,950,LEE'S PHARM,2897739,20371105
18/04/2019,951,CHAOWEI POWER,10363624,37516319
18/04/2019,956,CHINA SUNTIEN,2253094,5294771
18/04/2019,958,HN RENEWABLES,98796513,218340294
18/04/2019,960,LONGFOR GROUP,16760583,476838586
18/04/2019,966,CHINA TAIPING,40687901,1053816636
18/04/2019,968,XINYI SOLAR,220314261,962773321
18/04/2019,973,L'OCCITANE,3557750,50733515
18/04/2019,976,CHIHO ENV,3170000,3930800
18/04/2019,978,CHI MER LAND,0,0
18/04/2019,981,SMIC,482592106,4039295927
18/04/2019,989,GROUND INTL DEV,9775000,2932500
18/04/2019,991,DATANG POWER,29565007,64156065
18/04/2019,992,LENOVO GROUP,485555958,3544558493
18/04/2019,995,ANHUIEXPRESSWAY,1019301,5432874
18/04/2019,996,CARNIVAL GROUP,464689918,23699186
18/04/2019,998,CITIC BANK,115879041,595618271
18/04/2019,999,I.T,554000,2094120
18/04/2019,1003,HUANXI MEDIA,642445,1079308
18/04/2019,1004,C SMARTERENERGY,0,0
18/04/2019,1030,FUTURE LAND,95955596,919254610
18/04/2019,1031,KINGSTON FIN,2942000,5530960
18/04/2019,1033,SINOPEC SSC,25718289,30090398
18/04/2019,1038,CKI HOLDINGS,14916588,937507556
18/04/2019,1044,HENGAN INT'L,52218432,3650068397
18/04/2019,1051,G-RESOURCES,24948972,1821275
18/04/2019,1052,YUEXIUTRANSPORT,16815730,108965930
18/04/2019,1055,CHINA SOUTH AIR,166931327,1236961133
18/04/2019,1060,ALI PICTURES,1039836730,1715730605
18/04/2019,1061,ESSEX BIO-TECH,136000,897600
18/04/2019,1066,WEIGAO GROUP,26600958,205093386
18/04/2019,1070,TCL ELECTRONICS,10513113,46047435
18/04/2019,1071,HUADIAN POWER,38977403,139149329
18/04/2019,1072,DONGFANG ELEC,5054269,34015230
18/04/2019,1076,IMPERIAL PAC,68800000,9081600
18/04/2019,1083,TOWNGAS CHINA,3419641,20688828
18/04/2019,1086,GOODBABY INTL,39921027,89023890
18/04/2019,1088,CHINA SHENHUA,37044202,658645912
18/04/2019,1089,LEYOU TECH H,14430976,36077440
18/04/2019,1093,CSPC PHARMA,154791370,2374499616
18/04/2019,1098,ROAD KING INFRA,461000,8141260
18/04/2019,1099,SINOPHARM,23392264,738025929
18/04/2019,1109,CHINA RES LAND,41795761,1412696722
18/04/2019,1111,CHONG HING BANK,0,0
18/04/2019,1112,H&H INTL HLDG,14161005,637245225
18/04/2019,1113,CK ASSET,6201378,409601017
18/04/2019,1114,BRILLIANCE CHI,379913323,3643368768
18/04/2019,1115,TIBET WATER,17930000,41059700
18/04/2019,1117,CH MODERN D,4549929,5368916
18/04/2019,1122,QINGLING MOTORS,850000,2040000
18/04/2019,1128,WYNN MACAU,87311345,1859731649
18/04/2019,1129,WATER INDUSTRY,4276000,4789120
18/04/2019,1131,AGRITRADE RES,96215284,134701398
18/04/2019,1133,HARBIN ELECTRIC,32570347,133864126
18/04/2019,1138,COSCO SHIP ENGY,57761940,296318752
18/04/2019,1140,OP FINANCIAL,9888000,20863680
18/04/2019,1141,CMBC CAPITAL,249269319,71041756
18/04/2019,1157,ZOOMLION,25603984,126995761
18/04/2019,1169,HAIER ELEC,33347263,771989138
18/04/2019,1171,YANZHOU COAL,55079067,484144999
18/04/2019,1176,ZHUGUANG HOLD,7626000,8922420
18/04/2019,1177,SINO BIOPHARM,377590221,2945203724
18/04/2019,1186,CHINA RAIL CONS,110545222,1046863252
18/04/2019,1193,CHINA RES GAS,42974736,1534198075
18/04/2019,1196,REALORD GROUP,848000,3883840
18/04/2019,1199,COSCO SHIP PORT,18482563,164494811
18/04/2019,1205,CITIC RESOURCES,15428837,11571628
18/04/2019,1208,MMG,176267424,682154931
18/04/2019,1211,BYD COMPANY,148151163,8496469198
18/04/2019,1212,LIFESTYLE INT'L,1798852,25004043
18/04/2019,1216,ZYBANK,0,0
18/04/2019,1221,SINO HOTELS,0,0
18/04/2019,1223,SYMPHONY HOLD,1980000,1980000
18/04/2019,1224,C C LAND,1257000,2275170
18/04/2019,1230,YASHILI INT'L,7390924,8425653
18/04/2019,1233,TIMES CHINA,6415328,94305322
18/04/2019,1234,CHINA LILANG,968000,8828160
18/04/2019,1238,POWERLONG,2328000,9405120
18/04/2019,1243,WANG ON PPT,0,0
18/04/2019,1250,BE CLEAN ENERGY,58107382,7553960
18/04/2019,1252,CHINA TIANRUI,0,0
18/04/2019,1257,CEB GREENTECH,15787875,92674826
18/04/2019,1258,CHINFMINING,0,0
18/04/2019,1266,XIWANG STEEL,739000,1123280
18/04/2019,1270,LANGHAM-SS,1600000,5136000
18/04/2019,1282,CHINA GOLDJOY,95988199,29756342
18/04/2019,1288,ABC,269791006,987435082
18/04/2019,1293,GRAND BAOXIN,48899864,132029633
18/04/2019,1299,AIA,55121337,4393170559
18/04/2019,1302,LIFETECH SCI,30188090,50112229
18/04/2019,1308,SITC,1014000,8994180
18/04/2019,1310,HKBN,2333500,31735600
18/04/2019,1313,CHINARES CEMENT,94457974,799114460
18/04/2019,1316,NEXTEER,40235167,514205434
18/04/2019,1317,MAPLELEAF EDU,76296283,363170307
18/04/2019,1333,CHINA ZHONGWANG,83289400,371470724
18/04/2019,1336,NCI,29943268,1383378982
18/04/2019,1337,RAZER,106385219,218089699
18/04/2019,1339,PICC GROUP,117946795,397480699
18/04/2019,1347,HUA HONG SEMI,43926676,846906313
18/04/2019,1359,CHINA CINDA,330515439,723828811
18/04/2019,1360,MEGAEXPO HLDG,4536677,19144777
18/04/2019,1361,361 DEGREES,37499508,64499154
18/04/2019,1363,CTEG,53074868,18045455
18/04/2019,1368,XTEP INT'L,8691878,42503283
18/04/2019,1375,CC SECURITIES,17014583,37772374
18/04/2019,1378,CHINAHONGQIAO,94804201,608642970
18/04/2019,1381,CANVEST ENV,12630978,49513434
18/04/2019,1382,PACIFICTEXTILES,5309373,36687767
18/04/2019,1383,SUNCITY GROUP,12720000,29637600
18/04/2019,1385,SHANGHAI FUDAN,980000,12818400
18/04/2019,1387,RENHE COMM,108904925,29948854
18/04/2019,1398,ICBC,231920998,1391525988
18/04/2019,1426,SPRING REIT,0,0
18/04/2019,1432,CHINA SHENGMU,38556694,14458760
18/04/2019,1448,FU SHOU YUAN,20425899,144819624
18/04/2019,1458,ZHOU HEI YA,62437803,265360663
18/04/2019,1478,Q TECH,14189721,121747806
18/04/2019,1508,CHINA RE,54296648,89046503
18/04/2019,1513,LIVZON PHARMA,1287517,36372355
18/04/2019,1515,CR MEDICAL,19874676,120241790
18/04/2019,1518,NC HEALTHCARE,0,0
18/04/2019,1528,RS MACALLINE,1585426,12065092
18/04/2019,1530,3SBIO,99075318,1537648935
18/04/2019,1548,GENSCRIPT BIO,68725758,1415750615
18/04/2019,1551,GRCB,0,0
18/04/2019,1558,HEC PHARM,3823600,147973320
18/04/2019,1561,MANFIELD CHEM,0,0
18/04/2019,1566,CHINA ANIMATION,10039274,22889545
18/04/2019,1568,SUNDART HLDGS,0,0
18/04/2019,1569,MINSHENG EDU,0,0
18/04/2019,1573,SOUTHERN ENERGY,148000,1962480
18/04/2019,1578,BANK OF TIANJIN,0,0
18/04/2019,1579,YIHAI INTL,25044428,916626065
18/04/2019,1585,YADEA,12312000,33488640
18/04/2019,1589,CNLP,6223526,17985990
18/04/2019,1600,TIAN LUN GAS,1785500,14587535
18/04/2019,1606,CDB LEASING,0,0
18/04/2019,1608,VPOWER GROUP,0,0
18/04/2019,1610,COFCO MEAT,23186000,73035900
18/04/2019,1617,NANFANG COMM,564000,2684640
18/04/2019,1618,MCC,18899290,43468367
18/04/2019,1622,REDCO GROUP,24829957,79704162
18/04/2019,1628,YUZHOU PPT,24862578,109892595
18/04/2019,1636,CMRU,719730,2763763
18/04/2019,1638,KAISA GROUP,129771335,438627112
18/04/2019,1658,PSBC,918278537,4334274695
18/04/2019,1660,ZHAOBANGJI PPT,0,0
18/04/2019,1666,TONG REN TANG,12767586,140698798
18/04/2019,1668,CHINASOUTHCITY,16372000,20792440
18/04/2019,1672,ASCLETIS-B,0,0
18/04/2019,1680,MACAU LEGEND,5044000,6456320
18/04/2019,1681,CONSUN PHARMA,3173000,16467870
18/04/2019,1686,SUNEVISION,4463545,29905752
18/04/2019,1708,SAMPLE TECH,0,0
18/04/2019,1717,AUSNUTRIA,6416000,68522880
18/04/2019,1720,PUTIAN COMM,0,0
18/04/2019,1727,HEBEI CONS,0,0
18/04/2019,1728,ZHENGTONGAUTO,137228512,650463147
18/04/2019,1765,HOPE EDU,21490000,26432700
18/04/2019,1766,CRRC,96695094,697171628
18/04/2019,1772,GANFENGLITHIUM,1788600,25219260
18/04/2019,1776,GF SEC,50402661,569550069
18/04/2019,1777,FANTASIA,13510500,21346590
18/04/2019,1778,COLOUR LIFE,9545609,56032725
18/04/2019,1787,SD GOLD,242250,4200615
18/04/2019,1788,GUOTAI JUNAN I,268089609,428943374
18/04/2019,1789,AK MEDICAL,6081118,24932584
18/04/2019,1798,DATANG RENEW,0,0
18/04/2019,1799,XINTE ENERGY,0,0
18/04/2019,1800,CHINA COMM CONS,55554424,447213113
18/04/2019,1803,BJ SPORTS & ENT,9987479,22471828
18/04/2019,1806,HUIFU PAYMENT,1106400,4735392
18/04/2019,1810,XIAOMI-W,696383161,8147682984
18/04/2019,1811,CGN NEW ENERGY,2146000,2575200
18/04/2019,1812,CHENMING PAPER,2860815,12272896
18/04/2019,1813,KWG GROUP,98245224,921540201
18/04/2019,1816,CGN POWER,415494498,905778006
18/04/2019,1818,ZHAOJIN MINING,66284256,478572328
18/04/2019,1828,DCH HOLDINGS,1069000,3100100
18/04/2019,1829,CMEC,5265971,20695266
18/04/2019,1833,PA GOODDOCTOR,32561630,1372472705
18/04/2019,1836,STELLA HOLDINGS,187639,2240410
18/04/2019,1848,CALC,1349500,12212975
18/04/2019,1862,JINGRUI HLDGS,1466000,4178100
18/04/2019,1866,CHINA XLX FERT,0,0
18/04/2019,1881,REGAL REIT,0,0
18/04/2019,1882,HAITIAN INT'L,17586458,330625410
18/04/2019,1883,CITIC TELECOM,3657000,12031530
18/04/2019,1888,KB LAMINATES,28134069,248986511
18/04/2019,1898,CHINA COAL,33543408,118408230
18/04/2019,1899,XINGDA INT'L,9956972,25191139
18/04/2019,1908,C&D INTL GROUP,838000,8380000
18/04/2019,1910,SAMSONITE,39101681,893473411
18/04/2019,1911,CR HOLDINGS,127800,2575170
18/04/2019,1913,PRADA,20498655,451995343
18/04/2019,1916,JIANGXI BANK,3130000,19875500
18/04/2019,1918,SUNAC,93967731,3923152769
18/04/2019,1919,COSCO SHIP HOLD,113021389,427220850
18/04/2019,1928,SANDS CHINA LTD,66932991,2881465263
18/04/2019,1929,CHOW TAI FOOK,9190000,80504400
18/04/2019,1958,BAIC MOTOR,87870103,550945546
18/04/2019,1963,BCQ,2599309,13386441
18/04/2019,1966,CHINA SCE GROUP,35771694,134501569
18/04/2019,1970,IMAX CHINA,4068642,89510124
18/04/2019,1972,SWIREPROPERTIES,9103191,289026314
18/04/2019,1980,TIANGE,4941269,14428505
18/04/2019,1988,MINSHENG BANK,197210815,1197069647
18/04/2019,1996,RSUN PPT,0,0
18/04/2019,1997,WHARF REIC,11217689,653991269
18/04/2019,1999,MAN WAH HLDGS,100916650,453115759
18/04/2019,2001,NEW HIGHER EDU,40098269,148363595
18/04/2019,2003,VCREDIT,147000,1342110
18/04/2019,2005,SSY GROUP,45669285,346173180
18/04/2019,2006,JINJIANG HOTELS,7434000,14868000
18/04/2019,2007,COUNTRY GARDEN,537211137,6951512113
18/04/2019,2009,BBMG,175179684,520283661
18/04/2019,2014,OZNER WATER,40833000,53491230
18/04/2019,2016,CZBANK,0,0
18/04/2019,2018,AAC TECH,75341442,4075972012
18/04/2019,2020,ANTA SPORTS,16937013,936616819
18/04/2019,2038,FIH,174179459,261269189
18/04/2019,2039,CIMC,421838,4505230
18/04/2019,2048,E-HOUSE ENT,1435800,15363060
18/04/2019,2051,51 CREDIT CARD,1169000,6581470
18/04/2019,2066,SHENGJINGBANK,0,0
18/04/2019,2098,ZALL SMARTCOM,5400000,18360000
18/04/2019,2099,CHINAGOLDINTL,98300,1051810
18/04/2019,2128,CHINA LESSO,1483000,7948880
18/04/2019,2136,LIFESTYLE CHI,8607339,24272696
18/04/2019,2139,BANK OF GANSU,0,0
18/04/2019,2186,LUYE PHARMA,149673038,1073155682
18/04/2019,2196,FOSUN PHARMA,40198392,1155703770
18/04/2019,2198,CHINA SANJIANG,1231200,2733264
18/04/2019,2202,CHINA VANKE,41791248,1349857310
18/04/2019,2208,GOLDWIND,56004201,508518145
18/04/2019,2232,CRYSTAL INTL,6230070,24671077
18/04/2019,2233,WESTCHINACEMENT,21958250,24812823
18/04/2019,2238,GAC GROUP,196791172,1971847543
18/04/2019,2255,HAICHANG HLDG,2892000,4713960
18/04/2019,2269,WUXI BIO,25541802,2049729611
18/04/2019,2280,HC GROUP,28030353,115765358
18/04/2019,2282,MGM CHINA,96815107,1591640359
18/04/2019,2283,TK GROUP HLDG,0,0
18/04/2019,2298,COSMO LADY,5502890,13702196
18/04/2019,2299,BILLION IND,0,0
18/04/2019,2303,HENGXING GOLD,0,0
18/04/2019,2313,SHENZHOU INTL,5088866,531786497
18/04/2019,2314,LEE & MAN PAPER,22457511,147321272
18/04/2019,2318,PING AN,1236394010,116839233945
18/04/2019,2319,MENGNIU DAIRY,54822790,1554226097
18/04/2019,2322,NOBLE CENTURY,1000000,690000
18/04/2019,2328,PICC P&C,92488792,865695093
18/04/2019,2329,GUORUI PPT,9870268,16779456
18/04/2019,2331,LI NING,41285755,585432006
18/04/2019,2333,GREATWALL MOTOR,632055765,4405428682
18/04/2019,2338,WEICHAI POWER,126827410,1816168511
18/04/2019,2342,COMBA,122159220,257755954
